bankID,location,code,branchCount,founded
B:203,Germany,SWIFT7691,99,1953
B:204,USA,SWIFT4255,99,1968
B:205,UK,SWIFT9438,325,1909
B:206,France,SWIFT4245,11,1863
B:207,USA,SWIFT7071,317,1855
B:208,USA,SWIFT8388,1,1828
B:209,USA,SWIFT1899,381,1951
B:210,France,SWIFT5929,461,1912
B:211,France,SWIFT4245,29,2019
B:212,UK,SWIFT2761,21,1958
B:213,Germany,SWIFT7513,316,1993
B:214,France,SWIFT2364,263,1881
B:215,UK,SWIFT9198,126,1858
B:216,UK,SWIFT6286,467,1983
B:217,France,SWIFT7817,263,1824
B:218,UK,SWIFT1125,252,1943
B:219,USA,SWIFT9953,7,1934
B:220,Germany,SWIFT3714,12,1959
B:221,France,SWIFT6353,29,1829
B:222,USA,SWIFT9504,287,1938
B:223,France,SWIFT7036,369,1962
B:224,Germany,SWIFT8385,185,1969
B:225,France,SWIFT8614,460,1851
B:226,UK,SWIFT6043,331,1985
B:227,USA,SWIFT7585,446,1848
B:228,France,SWIFT2270,333,1991
B:229,France,SWIFT3385,83,1886
B:230,USA,SWIFT8142,371,1801
B:231,UK,SWIFT5089,129,2015
B:232,UK,SWIFT9214,58,1853
B:233,Germany,SWIFT3794,227,1888
B:234,UK,SWIFT4034,86,1910
B:235,Germany,SWIFT5101,376,1908
B:236,USA,SWIFT9983,342,1909
B:237,UK,SWIFT5707,427,1918
B:238,France,SWIFT5921,403,1821
B:239,UK,SWIFT7264,493,2015
B:240,France,SWIFT7214,443,1889
B:241,France,SWIFT2373,419,1977
B:242,Germany,SWIFT2018,358,1852
B:243,USA,SWIFT9365,20,1816
B:244,Germany,SWIFT9761,166,1889
B:245,UK,SWIFT2603,279,1916
B:246,USA,SWIFT1102,494,1912
B:247,UK,SWIFT6329,243,2001
B:248,USA,SWIFT1640,247,1971
B:249,France,SWIFT6106,25,1968
B:250,UK,SWIFT6375,224,1927
B:251,USA,SWIFT3432,335,1989
B:252,Germany,SWIFT9758,371,1972
B:253,USA,SWIFT4167,114,1891
B:254,UK,SWIFT2954,162,1828
B:255,USA,SWIFT6932,307,1982
B:256,USA,SWIFT1378,322,1927
B:257,France,SWIFT8853,161,1862
B:258,Germany,SWIFT7331,72,1858
B:259,USA,SWIFT3457,64,1824
B:260,France,SWIFT3214,190,1883
B:261,USA,SWIFT8975,5,1959
B:262,France,SWIFT8600,52,1994
B:263,Germany,SWIFT7544,393,1963
B:264,UK,SWIFT3095,369,1856
B:265,UK,SWIFT4081,2,1990
B:266,UK,SWIFT9656,188,1815
B:267,France,SWIFT9603,54,1983
B:268,USA,SWIFT7576,215,1827
B:269,Germany,SWIFT5682,86,1875
B:270,UK,SWIFT7110,477,1822
B:271,France,SWIFT1459,443,1843
B:272,Germany,SWIFT6233,271,1844
B:273,France,SWIFT1453,144,1865
B:274,USA,SWIFT4662,189,1954
B:275,UK,SWIFT8120,399,1998
B:276,UK,SWIFT3008,494,1801
B:277,UK,SWIFT5380,355,1934
B:278,Germany,SWIFT7710,486,2010
B:279,Germany,SWIFT9169,365,1944
B:280,USA,SWIFT8138,339,2020
B:281,France,SWIFT8297,285,1909
B:282,UK,SWIFT9671,12,1829
B:283,UK,SWIFT7252,44,1910
B:284,USA,SWIFT4692,244,1915
B:285,UK,SWIFT4892,41,1927
B:286,Germany,SWIFT9216,367,1881
B:287,USA,SWIFT7068,299,1983
B:288,France,SWIFT1839,194,1853
B:289,USA,SWIFT2072,280,1917
B:290,France,SWIFT7176,463,1829
B:291,Germany,SWIFT8291,136,1939
B:292,France,SWIFT8100,223,1850
B:293,UK,SWIFT5108,57,1946
B:294,UK,SWIFT9586,2,1937
B:295,Germany,SWIFT3383,282,1815
B:296,USA,SWIFT1573,381,1976
B:297,USA,SWIFT8304,234,1939
B:298,Germany,SWIFT8944,1,1824
B:299,UK,SWIFT1455,378,1955
B:300,Germany,SWIFT2807,278,1810
B:301,Germany,SWIFT2350,121,1973
B:302,USA,SWIFT8798,222,1814
B:303,Germany,SWIFT9273,261,1912
B:304,UK,SWIFT5914,106,1854
B:305,USA,SWIFT4651,13,1928
B:306,Germany,SWIFT4101,44,1982
B:307,UK,SWIFT2984,491,1855
B:308,UK,SWIFT7149,69,1853
B:309,USA,SWIFT4740,264,1973
B:310,USA,SWIFT2132,129,2021
B:311,USA,SWIFT5191,37,1859
B:312,USA,SWIFT1373,90,1812
B:313,France,SWIFT9524,152,2019
B:314,UK,SWIFT6241,164,2019
B:315,USA,SWIFT5063,435,1993
B:316,UK,SWIFT2330,475,1878
B:317,France,SWIFT1815,68,2000
B:318,Germany,SWIFT7535,108,2011
B:319,Germany,SWIFT9462,298,1833
B:320,UK,SWIFT2878,288,1905
B:321,USA,SWIFT8649,180,1914
B:322,Germany,SWIFT5111,17,1973
B:323,Germany,SWIFT5846,20,1868
B:324,UK,SWIFT6440,249,1874
B:325,Germany,SWIFT7214,294,1826
B:326,France,SWIFT1503,445,1802
B:327,Germany,SWIFT7086,306,2020
B:328,Germany,SWIFT3565,62,1824
B:329,France,SWIFT6760,13,1909
B:330,France,SWIFT4915,275,1821
B:331,USA,SWIFT2677,112,1954
B:332,France,SWIFT2495,187,1897
B:333,USA,SWIFT5357,465,2018
B:334,USA,SWIFT7960,86,1923
B:335,Germany,SWIFT7316,194,2014
B:336,France,SWIFT9767,498,1901
B:337,Germany,SWIFT7271,23,2020
B:338,Germany,SWIFT6320,103,1971
B:339,UK,SWIFT3635,418,1999
B:340,USA,SWIFT6186,399,1960
B:341,Germany,SWIFT4208,1,1934
B:342,France,SWIFT5706,245,1861
B:343,USA,SWIFT1863,334,1855
B:344,USA,SWIFT1931,412,2014
B:345,Germany,SWIFT2320,473,1957
B:346,UK,SWIFT1467,355,1863
B:347,Germany,SWIFT2529,472,1967
B:348,Germany,SWIFT8750,166,1912
B:349,UK,SWIFT7939,185,1972
B:350,USA,SWIFT6436,410,1876
B:351,USA,SWIFT5503,278,1839
B:352,UK,SWIFT3012,159,1957
B:353,France,SWIFT7467,215,1997
B:354,USA,SWIFT7754,29,1899
B:355,Germany,SWIFT6324,12,1903
B:356,UK,SWIFT3899,173,1856
B:357,France,SWIFT8042,458,1921
B:358,UK,SWIFT7396,313,1976
B:359,Germany,SWIFT4118,59,2018
B:360,UK,SWIFT5243,384,1990
B:361,Germany,SWIFT6504,81,1890
B:362,France,SWIFT1916,303,1998
B:363,UK,SWIFT1905,383,1847
B:364,USA,SWIFT3655,3,1954
B:365,USA,SWIFT3484,220,1949
B:366,France,SWIFT3403,150,1944
B:367,Germany,SWIFT5220,294,1967
B:368,UK,SWIFT7244,418,1807
B:369,UK,SWIFT6362,113,1855
B:370,USA,SWIFT9859,365,1978
B:371,Germany,SWIFT5008,443,1974
B:372,UK,SWIFT7642,181,1903
B:373,France,SWIFT8950,12,1961
B:374,France,SWIFT9283,429,1926
B:375,France,SWIFT3540,330,1837
B:376,France,SWIFT4923,177,1939
B:377,UK,SWIFT4360,132,1823
B:378,UK,SWIFT9263,323,1827
B:379,France,SWIFT6482,41,1841
B:380,UK,SWIFT6199,381,1876
B:381,USA,SWIFT6008,265,1953
B:382,UK,SWIFT9913,381,1868
B:383,USA,SWIFT3435,51,1992
B:384,UK,SWIFT5631,350,1914
B:385,France,SWIFT3636,166,1863
B:386,USA,SWIFT8844,179,1817
B:387,France,SWIFT1661,259,1942
B:388,Germany,SWIFT4311,234,1983
B:389,USA,SWIFT4231,87,1985
B:390,France,SWIFT1269,151,2013
B:391,France,SWIFT7982,93,1848
B:392,UK,SWIFT7595,68,1935
B:393,Germany,SWIFT4863,103,1890
B:394,France,SWIFT9747,346,1819
B:395,UK,SWIFT8630,299,1923
B:396,UK,SWIFT1218,270,1976
B:397,Germany,SWIFT3343,380,1848
B:398,Germany,SWIFT6882,360,1921
B:399,France,SWIFT9519,459,1988
B:400,UK,SWIFT8757,380,1890
B:401,USA,SWIFT8770,207,1914
B:402,Germany,SWIFT7386,400,1909
B:403,USA,SWIFT4348,296,1835
B:404,UK,SWIFT8874,216,1803
B:405,UK,SWIFT7873,486,1888
B:406,Germany,SWIFT1230,157,1810
B:407,France,SWIFT7511,381,2009
B:408,France,SWIFT6290,360,1893
B:409,Germany,SWIFT6275,328,1897
B:410,France,SWIFT8804,214,1955
B:411,France,SWIFT6359,297,1947
B:412,USA,SWIFT4987,2,1913
B:413,UK,SWIFT5902,157,1820
B:414,USA,SWIFT2597,3,1880
B:415,USA,SWIFT3644,281,1953
B:416,Germany,SWIFT6530,493,1891
B:417,France,SWIFT2690,112,1867
B:418,Germany,SWIFT3573,184,1967
B:419,USA,SWIFT1499,482,1969
B:420,France,SWIFT2486,62,1929
B:421,UK,SWIFT1209,68,2020
B:422,Germany,SWIFT9906,228,1959
B:423,Germany,SWIFT8311,242,1975
B:424,UK,SWIFT6906,134,1854
B:425,France,SWIFT8936,122,1808
B:426,France,SWIFT2415,112,1932
B:427,UK,SWIFT6997,325,1937
B:428,UK,SWIFT8969,51,1873
B:429,USA,SWIFT9182,255,1856
B:430,UK,SWIFT7161,138,2016
B:431,USA,SWIFT4674,186,1989
B:432,USA,SWIFT7146,155,1969
B:433,USA,SWIFT8314,160,1946
B:434,France,SWIFT6187,365,1825
B:435,UK,SWIFT8790,477,1978
B:436,France,SWIFT9426,280,1841
B:437,France,SWIFT9856,248,1840
B:438,Germany,SWIFT4271,62,1959
B:439,Germany,SWIFT1526,295,1991
B:440,Germany,SWIFT8812,472,1972
B:441,USA,SWIFT2195,67,1994
B:442,France,SWIFT9701,231,1862
B:443,France,SWIFT4292,90,1870
B:444,France,SWIFT8339,344,1867
B:445,USA,SWIFT3751,444,2000
B:446,France,SWIFT2438,54,1899
B:447,USA,SWIFT9502,486,1857
B:448,France,SWIFT9012,141,1993
B:449,France,SWIFT3666,77,1916
B:450,France,SWIFT1923,350,1940
B:451,France,SWIFT7263,437,1874
B:452,France,SWIFT2542,386,1857
B:453,France,SWIFT8795,237,1885
B:454,UK,SWIFT8969,209,1992
B:455,Germany,SWIFT1669,218,1942
B:456,USA,SWIFT8046,183,1853
B:457,France,SWIFT9598,331,1820
B:458,UK,SWIFT4074,372,2007
B:459,France,SWIFT6575,110,1972
B:460,Germany,SWIFT8090,355,1804
B:461,Germany,SWIFT4791,481,1842
B:462,USA,SWIFT5198,138,1941
B:463,Germany,SWIFT8386,305,1978
B:464,USA,SWIFT7512,490,1877
B:465,UK,SWIFT9731,412,1965
B:466,USA,SWIFT6237,449,1828
B:467,USA,SWIFT1411,499,1887
B:468,UK,SWIFT3232,221,1956
B:469,France,SWIFT1770,97,1970
B:470,USA,SWIFT7097,448,1817
B:471,UK,SWIFT9646,398,1836
B:472,France,SWIFT1819,299,2015
B:473,USA,SWIFT8109,84,1855
B:474,France,SWIFT4707,294,1823
B:475,France,SWIFT2825,230,1918
B:476,USA,SWIFT7269,295,1948
B:477,France,SWIFT2129,269,2010
B:478,UK,SWIFT6021,11,1919
B:479,France,SWIFT7269,337,1993
B:480,Germany,SWIFT9848,97,1819
B:481,France,SWIFT3883,349,1893
B:482,UK,SWIFT1669,233,1984
B:483,Germany,SWIFT2523,466,1920
B:484,USA,SWIFT4097,61,1958
B:485,France,SWIFT3642,500,1901
B:486,USA,SWIFT9018,391,1812
B:487,Germany,SWIFT6576,285,1947
B:488,Germany,SWIFT4347,317,1853
B:489,UK,SWIFT2105,227,2004
B:490,USA,SWIFT5759,290,1802
B:491,USA,SWIFT8370,217,1964
B:492,Germany,SWIFT2336,485,1817
B:493,UK,SWIFT3822,281,1809
B:494,UK,SWIFT4444,447,1936
B:495,UK,SWIFT9796,152,1984
B:496,UK,SWIFT1690,360,1981
B:497,UK,SWIFT1771,67,1989
B:498,USA,SWIFT6558,190,1834
B:499,UK,SWIFT5858,217,1905
B:500,UK,SWIFT1211,420,1822
B:501,Germany,SWIFT2895,411,1881
B:502,UK,SWIFT5761,293,1892
B:503,UK,SWIFT1765,425,1835
B:504,Germany,SWIFT8244,96,1878
B:505,UK,SWIFT6583,13,1927
B:506,USA,SWIFT4517,292,2005
B:507,Germany,SWIFT3700,463,1861
B:508,UK,SWIFT4786,182,1844
B:509,France,SWIFT1841,131,1834
B:510,USA,SWIFT6592,345,1925
B:511,France,SWIFT6282,431,1958
B:512,France,SWIFT3789,105,1850
B:513,Germany,SWIFT2866,83,1960
B:514,UK,SWIFT9333,389,2022
B:515,Germany,SWIFT3216,487,1828
B:516,USA,SWIFT1650,397,2017
B:517,USA,SWIFT9143,299,1868
B:518,USA,SWIFT6590,338,1843
B:519,Germany,SWIFT2590,415,1970
B:520,France,SWIFT4650,375,1948
B:521,UK,SWIFT5925,494,2000
B:522,France,SWIFT3519,202,1985
B:523,USA,SWIFT2476,239,1832
B:524,Germany,SWIFT4919,304,1951
B:525,France,SWIFT9207,139,2003
B:526,USA,SWIFT9521,237,1986
B:527,UK,SWIFT4193,111,1976
B:528,USA,SWIFT1145,37,1844
B:529,France,SWIFT5687,484,1998
B:530,France,SWIFT9746,416,2002
B:531,UK,SWIFT6446,220,2000
B:532,UK,SWIFT9938,298,1999
B:533,USA,SWIFT3442,458,1941
B:534,USA,SWIFT3148,378,1913
B:535,Germany,SWIFT2833,91,1835
B:536,UK,SWIFT2427,114,1805
B:537,Germany,SWIFT5173,147,1989
B:538,France,SWIFT2330,106,1956
B:539,USA,SWIFT3465,47,1940
B:540,UK,SWIFT6243,300,1934
B:541,USA,SWIFT4306,224,2001
B:542,UK,SWIFT8909,264,1887
B:543,Germany,SWIFT3361,385,1836
B:544,UK,SWIFT9183,263,1864
B:545,France,SWIFT4289,468,1852
B:546,France,SWIFT1196,228,1807
B:547,UK,SWIFT7673,162,1907
B:548,USA,SWIFT5495,199,1889
B:549,USA,SWIFT6965,24,1986
B:550,USA,SWIFT2642,340,1933
B:551,USA,SWIFT6766,57,1800
B:552,UK,SWIFT9032,478,1997
B:553,USA,SWIFT2395,187,1901
B:554,UK,SWIFT3028,443,1876
B:555,France,SWIFT8726,213,1866
B:556,USA,SWIFT2398,348,1850
B:557,Germany,SWIFT9665,158,1883
B:558,USA,SWIFT5522,144,1831
B:559,UK,SWIFT1080,128,1827
B:560,Germany,SWIFT7874,372,1946
B:561,UK,SWIFT3947,239,1816
B:562,France,SWIFT3939,124,1832
B:563,France,SWIFT3202,460,1926
B:564,UK,SWIFT7012,118,1962
B:565,USA,SWIFT7271,222,1862
B:566,UK,SWIFT4494,354,1839
B:567,USA,SWIFT2072,170,1829
B:568,USA,SWIFT4844,21,2008
B:569,UK,SWIFT8536,345,1980
B:570,Germany,SWIFT3217,372,1851
B:571,USA,SWIFT1623,449,1923
B:572,USA,SWIFT6169,395,1874
B:573,France,SWIFT7627,423,1834
B:574,USA,SWIFT3337,166,1851
B:575,Germany,SWIFT7159,52,1922
B:576,France,SWIFT3878,27,1951
B:577,USA,SWIFT5667,415,1892
B:578,France,SWIFT5523,315,1953
B:579,USA,SWIFT9879,346,1964
B:580,Germany,SWIFT8078,80,1860
B:581,UK,SWIFT2454,182,1841
B:582,USA,SWIFT5962,175,1955
B:583,France,SWIFT4339,352,1907
B:584,France,SWIFT2063,208,2019
B:585,Germany,SWIFT6930,148,1950
B:586,UK,SWIFT6497,130,1865
B:587,USA,SWIFT7919,231,2018
B:588,UK,SWIFT3657,38,1833
B:589,France,SWIFT4861,396,1810
B:590,USA,SWIFT1333,236,1859
B:591,Germany,SWIFT2291,284,1813
B:592,USA,SWIFT1231,293,1875
B:593,Germany,SWIFT8651,422,1855
B:594,France,SWIFT3042,183,1838
B:595,UK,SWIFT6086,323,1838
B:596,UK,SWIFT9594,315,1806
B:597,UK,SWIFT7458,4,1839
B:598,Germany,SWIFT4919,494,2019
B:599,USA,SWIFT2732,223,1940
B:600,Germany,SWIFT6439,358,1987
