deviceID,type,os,ip,location
D:190,Laptop,iOS,192.168.239.26,NYC
D:191,Mobile,MacOS,192.168.154.198,LA
D:192,Laptop,MacOS,192.168.179.171,NYC
D:193,Laptop,Android,192.168.105.94,Miami
D:194,Mobile,Windows,192.168.108.123,Chicago
D:195,Laptop,Android,192.168.163.81,Miami
D:196,Mobile,iOS,192.168.44.212,Chicago
D:197,Mobile,iOS,192.168.148.13,LA
D:198,Mobile,iOS,192.168.234.65,NYC
D:199,Mobile,iOS,192.168.238.53,Miami
D:200,Laptop,iOS,192.168.167.22,LA
D:201,Laptop,MacOS,192.168.225.125,NYC
D:202,Mobile,MacOS,192.168.148.231,Chicago
D:203,Mobile,Windows,192.168.165.87,NYC
D:204,Mobile,MacOS,192.168.33.6,LA
D:205,Mobile,MacOS,192.168.82.56,LA
D:206,Laptop,Android,192.168.132.181,NYC
D:207,Laptop,iOS,192.168.200.6,Miami
D:208,Laptop,Android,192.168.93.149,NYC
D:209,Laptop,Android,192.168.225.245,NYC
D:210,Mobile,iOS,192.168.53.184,NYC
D:211,Tablet,MacOS,192.168.175.7,LA
D:212,Mobile,Windows,192.168.121.73,NYC
D:213,Tablet,iOS,192.168.76.146,Miami
D:214,Mobile,Windows,192.168.200.213,NYC
D:215,Tablet,Android,192.168.199.154,Miami
D:216,Tablet,Android,192.168.185.172,NYC
D:217,Mobile,Android,192.168.148.82,LA
D:218,Mobile,Windows,192.168.158.195,NYC
D:219,Tablet,Android,192.168.222.197,Miami
D:220,Tablet,Windows,192.168.114.94,NYC
D:221,Tablet,MacOS,192.168.39.5,LA
D:222,Tablet,Windows,192.168.22.123,Chicago
D:223,Tablet,Windows,192.168.91.181,Miami
D:224,Mobile,MacOS,192.168.44.18,Chicago
D:225,Tablet,Windows,192.168.69.187,Chicago
D:226,Mobile,Windows,192.168.189.125,LA
D:227,Tablet,iOS,192.168.32.134,Chicago
D:228,Tablet,Windows,192.168.125.112,Chicago
D:229,Laptop,MacOS,192.168.125.79,NYC
D:230,Mobile,MacOS,192.168.189.181,Miami
D:231,Mobile,iOS,192.168.16.20,Chicago
D:232,Laptop,Windows,192.168.247.208,NYC
D:233,Tablet,iOS,192.168.139.217,Miami
D:234,Mobile,Android,192.168.167.30,Miami
D:235,Mobile,iOS,192.168.105.11,Chicago
D:236,Tablet,Android,192.168.152.96,LA
D:237,Mobile,Android,192.168.130.134,LA
D:238,Laptop,iOS,192.168.153.21,Miami
D:239,Laptop,Android,192.168.55.8,Miami
D:240,Mobile,MacOS,192.168.70.167,Chicago
D:241,Mobile,MacOS,192.168.165.213,Chicago
D:242,Tablet,Android,192.168.88.70,Chicago
D:243,Mobile,MacOS,192.168.132.153,Miami
D:244,Mobile,Android,192.168.222.195,Chicago
D:245,Tablet,Android,192.168.226.18,NYC
D:246,Tablet,Android,192.168.64.128,Chicago
D:247,Tablet,Android,192.168.112.127,LA
D:248,Mobile,MacOS,192.168.81.97,Miami
D:249,Laptop,Windows,192.168.94.100,Chicago
D:250,Laptop,iOS,192.168.100.101,Chicago
D:251,Tablet,Windows,192.168.181.245,LA
D:252,Mobile,Windows,192.168.88.163,LA
D:253,Mobile,Android,192.168.47.154,LA
D:254,Tablet,Windows,192.168.108.209,Chicago
D:255,Tablet,iOS,192.168.8.194,LA
D:256,Laptop,Windows,192.168.75.171,NYC
D:257,Laptop,Android,192.168.127.156,NYC
D:258,Mobile,iOS,192.168.7.182,LA
D:259,Tablet,Android,192.168.217.58,Miami
D:260,Laptop,Android,192.168.5.116,NYC
D:261,Tablet,MacOS,192.168.138.51,NYC
D:262,Mobile,MacOS,192.168.149.182,LA
D:263,Mobile,Android,192.168.50.5,NYC
D:264,Mobile,MacOS,192.168.141.126,NYC
D:265,Laptop,iOS,192.168.158.51,LA
D:266,Tablet,Android,192.168.34.181,Chicago
D:267,Mobile,Android,192.168.9.226,Miami
D:268,Mobile,iOS,192.168.15.47,NYC
D:269,Laptop,MacOS,192.168.250.13,Miami
D:270,Laptop,MacOS,192.168.230.240,NYC
D:271,Tablet,Windows,192.168.17.196,Chicago
D:272,Laptop,iOS,192.168.37.132,NYC
D:273,Mobile,Android,192.168.78.66,NYC
D:274,Mobile,Windows,192.168.197.3,NYC
D:275,Laptop,iOS,192.168.42.108,NYC
D:276,Mobile,Windows,192.168.209.144,LA
D:277,Tablet,iOS,192.168.33.248,LA
D:278,Laptop,Windows,192.168.58.131,LA
D:279,Mobile,Windows,192.168.109.230,LA
D:280,Tablet,iOS,192.168.226.17,Miami
D:281,Mobile,Android,192.168.13.130,Chicago
D:282,Mobile,iOS,192.168.42.208,NYC
D:283,Tablet,Windows,192.168.171.53,Miami
D:284,Tablet,iOS,192.168.158.215,NYC
D:285,Mobile,Android,192.168.187.99,Miami
D:286,Laptop,Android,192.168.140.84,NYC
D:287,Tablet,Windows,192.168.110.8,Miami
D:288,Mobile,Windows,192.168.63.157,Chicago
D:289,Tablet,Windows,192.168.57.171,Miami
D:290,Tablet,iOS,192.168.7.155,Miami
D:291,Mobile,iOS,192.168.222.77,LA
D:292,Mobile,iOS,192.168.73.26,LA
D:293,Tablet,iOS,192.168.149.99,NYC
D:294,Mobile,Windows,192.168.177.182,Chicago
D:295,Mobile,MacOS,192.168.200.14,Miami
D:296,Laptop,MacOS,192.168.126.72,Miami
D:297,Laptop,iOS,192.168.108.177,LA
D:298,Mobile,MacOS,192.168.237.84,Miami
D:299,Mobile,iOS,192.168.40.57,NYC
D:300,Laptop,MacOS,192.168.231.14,LA
D:301,Laptop,iOS,192.168.48.4,Chicago
D:302,Tablet,MacOS,192.168.248.229,NYC
D:303,Tablet,iOS,192.168.60.197,LA
D:304,Laptop,Android,192.168.133.81,Chicago
D:305,Mobile,iOS,192.168.40.136,LA
D:306,Tablet,Android,192.168.209.167,Miami
D:307,Laptop,Android,192.168.23.180,NYC
D:308,Laptop,Android,192.168.157.9,Chicago
D:309,Tablet,Windows,192.168.44.193,Chicago
D:310,Tablet,MacOS,192.168.36.179,Miami
D:311,Mobile,Android,192.168.185.147,NYC
D:312,Mobile,MacOS,192.168.142.183,NYC
D:313,Mobile,MacOS,192.168.231.109,LA
D:314,Tablet,Windows,192.168.143.27,Miami
D:315,Tablet,MacOS,192.168.186.1,Chicago
D:316,Laptop,Windows,192.168.157.132,Chicago
D:317,Mobile,Android,192.168.29.202,Miami
D:318,Laptop,Windows,192.168.42.86,LA
D:319,Laptop,iOS,192.168.203.253,NYC
D:320,Mobile,Windows,192.168.85.239,NYC
D:321,Mobile,Android,192.168.129.60,Chicago
D:322,Tablet,Windows,192.168.44.110,LA
D:323,Mobile,Windows,192.168.16.110,LA
D:324,Tablet,iOS,192.168.84.222,Miami
D:325,Laptop,Windows,192.168.237.234,LA
D:326,Mobile,Android,192.168.81.113,Chicago
D:327,Mobile,Windows,192.168.189.181,Chicago
D:328,Tablet,Android,192.168.222.61,Chicago
D:329,Tablet,Android,192.168.40.188,Chicago
D:330,Laptop,Windows,192.168.131.247,LA
D:331,Mobile,Android,192.168.95.193,NYC
D:332,Laptop,MacOS,192.168.193.224,LA
D:333,Tablet,Android,192.168.187.194,LA
D:334,Laptop,MacOS,192.168.144.216,Miami
D:335,Mobile,iOS,192.168.107.103,Miami
D:336,Tablet,Android,192.168.241.184,Chicago
D:337,Tablet,Windows,192.168.140.69,LA
D:338,Mobile,iOS,192.168.88.71,LA
D:339,Tablet,MacOS,192.168.232.72,Chicago
D:340,Laptop,MacOS,192.168.136.70,Chicago
D:341,Laptop,MacOS,192.168.153.164,LA
D:342,Tablet,Windows,192.168.0.252,NYC
D:343,Laptop,MacOS,192.168.178.242,Chicago
D:344,Laptop,MacOS,192.168.175.75,NYC
D:345,Tablet,Android,192.168.100.35,LA
D:346,Laptop,iOS,192.168.210.99,Miami
D:347,Tablet,iOS,192.168.78.173,Miami
D:348,Mobile,Android,192.168.3.53,NYC
D:349,Tablet,MacOS,192.168.81.118,LA
D:350,Mobile,Windows,192.168.249.154,NYC
D:351,Laptop,Windows,192.168.174.18,Chicago
D:352,Tablet,Android,192.168.23.64,Miami
D:353,Laptop,iOS,192.168.177.124,Chicago
D:354,Tablet,Android,192.168.95.103,NYC
D:355,Laptop,MacOS,192.168.70.14,LA
D:356,Mobile,Android,192.168.168.156,Miami
D:357,Laptop,iOS,192.168.213.148,LA
D:358,Tablet,MacOS,192.168.37.161,Chicago
D:359,Tablet,iOS,192.168.219.100,LA
D:360,Mobile,Windows,192.168.26.248,Miami
D:361,Mobile,Windows,192.168.60.180,Miami
D:362,Mobile,MacOS,192.168.56.140,Miami
D:363,Mobile,Android,192.168.95.195,NYC
D:364,Mobile,Android,192.168.166.154,Chicago
D:365,Tablet,Android,192.168.96.145,LA
D:366,Mobile,MacOS,192.168.124.225,LA
D:367,Mobile,Android,192.168.131.22,Miami
D:368,Mobile,Windows,192.168.255.235,Chicago
D:369,Mobile,iOS,192.168.89.18,Chicago
D:370,Mobile,iOS,192.168.19.127,LA
D:371,Laptop,iOS,192.168.36.145,LA
D:372,Tablet,iOS,192.168.224.38,Chicago
D:373,Mobile,Android,192.168.225.238,Miami
D:374,Laptop,iOS,192.168.235.133,NYC
D:375,Tablet,iOS,192.168.194.252,LA
D:376,Laptop,iOS,192.168.117.218,LA
D:377,Laptop,Windows,192.168.228.101,NYC
D:378,Laptop,iOS,192.168.36.178,Miami
D:379,Laptop,Android,192.168.102.227,NYC
D:380,Mobile,iOS,192.168.228.104,LA
D:381,Laptop,MacOS,192.168.193.253,Miami
D:382,Tablet,MacOS,192.168.44.184,NYC
D:383,Mobile,MacOS,192.168.212.131,LA
D:384,Tablet,Android,192.168.19.125,Miami
D:385,Mobile,Windows,192.168.140.192,LA
D:386,Laptop,MacOS,192.168.149.117,Chicago
D:387,Laptop,iOS,192.168.19.242,LA
D:388,Laptop,iOS,192.168.47.115,Chicago
D:389,Laptop,Android,192.168.83.30,NYC
D:390,Mobile,Windows,192.168.181.152,NYC
D:391,Tablet,Windows,192.168.122.240,LA
D:392,Mobile,Android,192.168.29.30,Chicago
D:393,Mobile,Android,192.168.163.197,NYC
D:394,Mobile,MacOS,192.168.11.162,Miami
D:395,Tablet,Android,192.168.46.79,LA
D:396,Tablet,Android,192.168.230.170,Miami
D:397,Tablet,MacOS,192.168.86.159,LA
D:398,Mobile,MacOS,192.168.140.44,Chicago
D:399,Mobile,MacOS,192.168.202.172,NYC
D:400,Laptop,iOS,192.168.187.134,Miami
D:401,Tablet,MacOS,192.168.20.96,LA
D:402,Tablet,Windows,192.168.189.71,Chicago
D:403,Laptop,Windows,192.168.97.213,Chicago
D:404,Laptop,MacOS,192.168.206.9,LA
D:405,Laptop,iOS,192.168.24.121,LA
D:406,Laptop,MacOS,192.168.253.140,Miami
D:407,Mobile,Windows,192.168.213.15,Chicago
D:408,Tablet,Windows,192.168.3.126,Chicago
D:409,Laptop,Android,192.168.126.170,NYC
D:410,Mobile,iOS,192.168.49.188,Chicago
D:411,Mobile,MacOS,192.168.102.212,LA
D:412,Laptop,Windows,192.168.79.140,LA
D:413,Mobile,Android,192.168.84.86,Miami
D:414,Laptop,Windows,192.168.172.0,Chicago
D:415,Laptop,MacOS,192.168.81.237,NYC
D:416,Laptop,iOS,192.168.239.105,LA
D:417,Mobile,iOS,192.168.38.49,Chicago
D:418,Tablet,Windows,192.168.50.227,Miami
D:419,Mobile,MacOS,192.168.69.176,LA
D:420,Tablet,MacOS,192.168.29.52,NYC
D:421,Mobile,MacOS,192.168.155.145,LA
D:422,Mobile,Windows,192.168.45.212,Miami
D:423,Mobile,iOS,192.168.160.109,Chicago
D:424,Tablet,MacOS,192.168.94.204,Chicago
D:425,Mobile,iOS,192.168.113.67,NYC
D:426,Tablet,iOS,192.168.152.235,Chicago
D:427,Laptop,Android,192.168.55.172,NYC
D:428,Tablet,MacOS,192.168.33.221,NYC
D:429,Mobile,MacOS,192.168.42.113,Chicago
D:430,Tablet,Windows,192.168.111.160,NYC
D:431,Laptop,Windows,192.168.110.55,NYC
D:432,Mobile,Windows,192.168.119.146,Miami
D:433,Mobile,iOS,192.168.31.91,Miami
D:434,Mobile,iOS,192.168.81.213,Miami
D:435,Mobile,Windows,192.168.183.141,Miami
D:436,Laptop,MacOS,192.168.229.65,Chicago
D:437,Tablet,MacOS,192.168.130.69,Miami
D:438,Tablet,Windows,192.168.254.16,NYC
D:439,Tablet,Windows,192.168.210.203,NYC
D:440,Tablet,Android,192.168.201.233,NYC
D:441,Mobile,Windows,192.168.82.109,Chicago
D:442,Tablet,MacOS,192.168.186.38,Chicago
D:443,Laptop,MacOS,192.168.148.67,Miami
D:444,Tablet,Android,192.168.251.118,NYC
D:445,Tablet,MacOS,192.168.113.125,Miami
D:446,Tablet,MacOS,192.168.108.76,LA
D:447,Mobile,iOS,192.168.31.245,NYC
D:448,Tablet,Windows,192.168.45.65,Miami
D:449,Tablet,iOS,192.168.12.190,NYC
D:450,Mobile,Windows,192.168.205.191,Miami
D:451,Mobile,Windows,192.168.168.3,Miami
D:452,Laptop,Windows,192.168.108.19,Chicago
D:453,Mobile,Android,192.168.69.57,Chicago
D:454,Laptop,MacOS,192.168.63.34,Miami
D:455,Tablet,Windows,192.168.167.201,NYC
D:456,Laptop,Android,192.168.106.226,NYC
D:457,Tablet,MacOS,192.168.180.70,Miami
D:458,Tablet,MacOS,192.168.239.227,NYC
D:459,Mobile,MacOS,192.168.204.55,LA
D:460,Laptop,iOS,192.168.128.23,NYC
D:461,Mobile,Android,192.168.58.224,Miami
D:462,Laptop,MacOS,192.168.114.149,Chicago
D:463,Tablet,Windows,192.168.238.73,NYC
D:464,Mobile,Windows,192.168.88.39,Chicago
D:465,Mobile,Android,192.168.78.91,NYC
D:466,Tablet,MacOS,192.168.98.204,NYC
D:467,Tablet,MacOS,192.168.61.10,LA
D:468,Tablet,Android,192.168.228.173,NYC
D:469,Laptop,MacOS,192.168.172.97,Chicago
D:470,Laptop,Android,192.168.190.193,LA
D:471,Laptop,iOS,192.168.17.123,Miami
D:472,Tablet,MacOS,192.168.124.98,Chicago
D:473,Tablet,Android,192.168.105.135,Miami
D:474,Tablet,MacOS,192.168.160.205,NYC
D:475,Tablet,MacOS,192.168.106.195,Miami
D:476,Tablet,Windows,192.168.222.252,Miami
D:477,Laptop,MacOS,192.168.207.201,LA
D:478,Tablet,Windows,192.168.162.121,Chicago
D:479,Mobile,Android,192.168.242.32,NYC
D:480,Mobile,iOS,192.168.192.123,Chicago
D:481,Tablet,MacOS,192.168.7.113,Miami
D:482,Tablet,Windows,192.168.151.233,Miami
D:483,Tablet,iOS,192.168.38.68,Chicago
D:484,Laptop,MacOS,192.168.112.26,NYC
D:485,Tablet,Android,192.168.154.237,Chicago
D:486,Laptop,MacOS,192.168.91.29,NYC
D:487,Tablet,Android,192.168.60.133,LA
D:488,Tablet,Windows,192.168.155.225,Miami
D:489,Laptop,MacOS,192.168.20.70,NYC
D:490,Laptop,iOS,192.168.56.139,Chicago
D:491,Tablet,Windows,192.168.199.82,NYC
D:492,Laptop,Windows,192.168.199.138,Chicago
D:493,Laptop,iOS,192.168.116.175,Miami
D:494,Tablet,MacOS,192.168.155.179,LA
D:495,Tablet,iOS,192.168.229.96,NYC
D:496,Tablet,Windows,192.168.93.135,Miami
D:497,Mobile,Windows,192.168.228.29,Miami
D:498,Laptop,Android,192.168.244.184,Miami
D:499,Mobile,iOS,192.168.241.240,Miami
D:500,Tablet,Android,192.168.65.226,Chicago
D:501,Laptop,iOS,192.168.65.32,NYC
D:502,Laptop,MacOS,192.168.244.187,LA
D:503,Tablet,iOS,192.168.178.218,NYC
D:504,Laptop,iOS,192.168.232.79,NYC
D:505,Tablet,Windows,192.168.84.90,LA
D:506,Tablet,Windows,192.168.81.89,Chicago
D:507,Laptop,MacOS,192.168.247.22,NYC
D:508,Tablet,Android,192.168.37.46,Miami
D:509,Mobile,Windows,192.168.21.86,Miami
D:510,Laptop,MacOS,192.168.41.163,NYC
D:511,Mobile,Windows,192.168.93.102,Miami
D:512,Laptop,iOS,192.168.218.152,Chicago
D:513,Mobile,Windows,192.168.243.101,NYC
D:514,Laptop,Windows,192.168.186.84,NYC
D:515,Mobile,Android,192.168.165.210,Miami
D:516,Laptop,MacOS,192.168.219.133,Miami
D:517,Laptop,Windows,192.168.175.59,NYC
D:518,Mobile,MacOS,192.168.53.44,Chicago
D:519,Laptop,Windows,192.168.175.141,Chicago
D:520,Tablet,iOS,192.168.150.24,Miami
D:521,Mobile,Windows,192.168.193.171,NYC
D:522,Mobile,Android,192.168.22.182,LA
D:523,Laptop,MacOS,192.168.156.171,Miami
D:524,Mobile,MacOS,192.168.0.92,NYC
D:525,Tablet,MacOS,192.168.244.153,Miami
D:526,Laptop,iOS,192.168.166.54,Chicago
D:527,Laptop,MacOS,192.168.115.131,LA
D:528,Tablet,iOS,192.168.223.201,LA
D:529,Tablet,iOS,192.168.34.36,NYC
D:530,Tablet,MacOS,192.168.147.72,LA
D:531,Tablet,Windows,192.168.189.78,LA
D:532,Tablet,Windows,192.168.243.0,LA
D:533,Tablet,Android,192.168.138.63,LA
D:534,Mobile,Windows,192.168.88.245,NYC
D:535,Tablet,iOS,192.168.10.55,LA
D:536,Tablet,iOS,192.168.18.204,Miami
D:537,Mobile,MacOS,192.168.14.81,Chicago
D:538,Tablet,Windows,192.168.158.70,Chicago
D:539,Laptop,Android,192.168.120.105,LA
D:540,Tablet,Android,192.168.101.26,Chicago
D:541,Mobile,MacOS,192.168.16.7,Chicago
D:542,Laptop,MacOS,192.168.171.134,Miami
D:543,Mobile,Windows,192.168.69.71,Chicago
D:544,Laptop,MacOS,192.168.93.127,Chicago
D:545,Tablet,MacOS,192.168.192.23,LA
D:546,Laptop,Android,192.168.86.147,NYC
D:547,Tablet,Android,192.168.236.53,NYC
D:548,Tablet,MacOS,192.168.107.164,Chicago
D:549,Tablet,Windows,192.168.219.168,LA
D:550,Laptop,MacOS,192.168.247.77,Miami
D:551,Mobile,Android,192.168.208.115,Miami
D:552,Mobile,MacOS,192.168.106.104,Chicago
D:553,Mobile,MacOS,192.168.202.97,Chicago
D:554,Tablet,Android,192.168.69.28,NYC
D:555,Laptop,MacOS,192.168.102.14,Chicago
D:556,Laptop,iOS,192.168.166.155,Miami
D:557,Tablet,MacOS,192.168.151.123,Chicago
